10, 0.29187, 0.005
20, 0.04131, 0.005
30, 0.03017, 0.005
40, 0.03182, 0.005
50, 0.02666, 0.005
60, 0.02479, 0.005
70, 0.02031, 0.005
80, 0.02893, 0.005
90, 0.02887, 0.005
100, 0.02497, 0.005
110, 0.02005, 0.005
120, 0.02195, 0.005
130, 0.02354, 0.005
140, 0.02607, 0.005
150, 0.02043, 0.005
160, 0.02509, 0.005
170, 0.02513, 0.005
180, 0.02110, 0.005
190, 0.02083, 0.005
200, 0.02352, 0.005
210, 0.02867, 0.005
220, 0.01609, 0.005
230, 0.02029, 0.005
240, 0.02158, 0.005
250, 0.02011, 0.005
260, 0.01926, 0.005
270, 0.02268, 0.005
280, 0.01998, 0.005
290, 0.01903, 0.005
300, 0.02198, 0.005
310, 0.01871, 0.005
