scorer,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300
bodyparts,Hand,Hand,Hand,Finger1,Finger1,Finger1,Tongue,Tongue,Tongue,Joystick1,Joystick1,Joystick1,Joystick2,Joystick2,Joystick2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,367.9222502708435,447.51799726486206,0.15850046277046204,361.65308570861816,460.80169332027435,0.18269303441047668,378.5856304168701,457.81654024124146,0.0887378454208374,356.62074172496796,462.4575443267822,0.3460542559623718,360.41387462615967,654.8481335639954,0.18623292446136475
9,367.9524655342102,447.01342725753784,0.16510167717933655,361.4603786468506,460.6794948577881,0.19992509484291077,378.86129665374756,458.0432229042053,0.08989858627319336,357.5633063316345,462.48150873184204,0.36273080110549927,362.4097580909729,648.8390464782715,0.18752548098564148
10,367.82950830459595,447.06245827674866,0.1570819616317749,361.6624710559845,460.9806805253029,0.2002972960472107,363.05297434329987,459.42301082611084,0.09265735745429993,357.4497045278549,463.1709179878235,0.3550013303756714,359.5664966106415,655.5587508678436,0.18012899160385132
11,368.08747458457947,446.9351317882538,0.15571272373199463,361.6636219024658,460.70122265815735,0.19718104600906372,362.8043005466461,459.59480279684067,0.08815181255340576,357.04474008083344,462.6567358970642,0.3593466579914093,359.82037258148193,654.8334450721741,0.1897837221622467
12,368.1916482448578,446.862756729126,0.15810030698776245,361.5784001350403,460.6955015659332,0.19699311256408691,362.98741710186005,459.62466990947723,0.08814138174057007,357.3734110593796,462.56409549713135,0.35365909337997437,359.6515703201294,655.354195356369,0.18817797303199768
13,368.2043583393097,446.9382643699646,0.15166711807250977,361.64288783073425,460.73246759176254,0.19691872596740723,378.3953928947449,457.74485874176025,0.09038573503494263,356.80049872398376,462.6641058921814,0.34392887353897095,359.6755108833313,654.8983037471771,0.19350746273994446
14,368.0854127407074,447.092205286026,0.1690743863582611,361.527713060379,460.96026045084,0.20528998970985413,378.5469317436218,458.47247636318207,0.09709811210632324,357.9812024831772,462.744665145874,0.3715599775314331,359.410706281662,655.0057952404022,0.18874594569206238
15,367.82825565338135,447.02472376823425,0.15891596674919128,361.6685492992401,460.8642547130585,0.1948738694190979,363.3118969798088,459.46925514936447,0.08816197514533997,357.37049663066864,462.8618903160095,0.34827250242233276,362.0548667907715,648.1989827156067,0.182774156332016
16,363.2976534962654,453.37667429447174,0.15531006455421448,361.74508333206177,460.82516384124756,0.19820275902748108,378.10172033309937,458.37765431404114,0.09687843918800354,357.51458966732025,462.652690410614,0.36929112672805786,360.38715839385986,655.3244154453278,0.1803552508354187
17,369.0782527923584,458.69553542137146,0.16175982356071472,361.75881934165955,460.7363513112068,0.196835458278656,378.15153789520264,458.1112151145935,0.09402090311050415,357.52171635627747,462.2015357017517,0.3498636484146118,360.08601331710815,639.7476749420166,0.17338153719902039
18,370.650661110878,454.6690077781677,0.1666223108768463,361.6622841358185,460.7244021296501,0.2044096291065216,378.30211544036865,458.4964852333069,0.1061616837978363,357.661355137825,462.9109354019165,0.3497623801231384,359.31014037132263,655.3406167030334,0.18974924087524414
19,367.91892671585083,446.8071253299713,0.1642988622188568,361.7844626903534,460.8153505921364,0.192292720079422,378.0504403114319,458.03284788131714,0.09009867906570435,357.48283529281616,462.73027658462524,0.33813995122909546,360.08477115631104,655.3612220287323,0.19004285335540771
20,370.7663987874985,454.50070905685425,0.16824594140052795,361.70183992385864,460.86076134443283,0.20240193605422974,377.90086936950684,458.51466715335846,0.09449699521064758,357.60664319992065,463.07147121429443,0.34814733266830444,360.13336992263794,655.4030525684357,0.1866295039653778
21,367.875235080719,446.5034730434418,0.16960197687149048,361.6741232872009,460.52147346735,0.20227745175361633,378.04987382888794,458.06323742866516,0.09585446119308472,357.4146022796631,462.317503452301,0.33719950914382935,359.98242115974426,655.222635269165,0.19604623317718506
22,97.62933373451233,633.5762224197388,0.18550163507461548,361.8454842567444,460.81906336545944,0.203596293926239,378.2177963256836,458.29901361465454,0.09613296389579773,357.2614017724991,462.4498219490051,0.35517388582229614,359.8727662563324,655.2069914340973,0.18934226036071777
23,97.9644775390625,633.8844423294067,0.19981154799461365,361.834956407547,460.7718816399574,0.20340287685394287,378.45544481277466,458.4087289571762,0.09197556972503662,357.2120487689972,462.38792514801025,0.3355861008167267,359.56941294670105,654.8143334388733,0.19313770532608032
24,98.2507266998291,634.2565349340439,0.20982971787452698,361.7302944660187,460.7701997756958,0.20323261618614197,91.49571031332016,644.4965210258961,0.10110852122306824,357.4627788066864,462.5531802177429,0.3561629056930542,359.5603914260864,655.120519399643,0.1918051838874817
25,98.69095420837402,634.4235438108444,0.20033207535743713,90.70169341564178,642.5975497961044,0.20140939950942993,91.39446473121643,644.9014792442322,0.10131943225860596,357.3947629928589,463.3129549026489,0.33882057666778564,359.8530750274658,655.161064863205,0.18066897988319397
26,98.4731035232544,634.4195421934128,0.21191886067390442,361.67204451560974,460.6708818078041,0.2084219753742218,91.16090029478073,644.6245430707932,0.10697820782661438,357.9766128063202,457.60183000564575,0.34935057163238525,359.7605290412903,639.2363064289093,0.1752047836780548
27,99.02049624919891,634.6479066610336,0.21181568503379822,361.6142246723175,460.7778899073601,0.20949655771255493,90.78899538516998,644.8135324120522,0.11027246713638306,357.41085982322693,462.5664644241333,0.3636401891708374,359.52790427207947,655.0293583869934,0.17963674664497375
28,98.87339305877686,634.8422937393188,0.20980370044708252,361.50469040870667,460.7956448197365,0.21516817808151245,91.49072635173798,644.5720362663269,0.1135614812374115,357.1910648345947,462.9098119735718,0.35633134841918945,359.7021975517273,655.0693106651306,0.19129908084869385
29,98.80553209781647,634.6785975694656,0.21132111549377441,90.282310962677,643.1646245121956,0.2001599371433258,91.37229466438293,644.6309050917625,0.1121705174446106,357.2346279621124,462.26393604278564,0.3448338508605957,359.53209233283997,655.5001676082611,0.18782523274421692
30,98.8462643623352,635.17467212677,0.20194131135940552,361.4841637611389,460.76372599601746,0.21938687562942505,91.34237378835678,644.8071606755257,0.10463270545005798,358.8153896331787,457.57091760635376,0.326221764087677,359.400253534317,655.1645648479462,0.17291870713233948
31,290.19808614254,462.05306673049927,0.23582062125205994,364.78326815366745,467.26880061626434,0.278516948223114,360.68422746658325,459.39992702007294,0.14150530099868774,357.2719694375992,463.84639501571655,0.38570767641067505,368.6539969444275,459.00866663455963,0.21689575910568237
32,369.16639256477356,447.7179503440857,0.2424386441707611,363.17240285873413,452.59736382961273,0.3410259485244751,362.25101804733276,460.53497380018234,0.13915646076202393,360.0969591140747,459.979483127594,0.4111979603767395,353.9423031806946,460.459371984005,0.22025492787361145
