uid,frame,species,individual,condition,acromion.translateY,acromion.translateZ,acromion.rotateX,acromion.rotateY,acromion.rotateZ,glenoid.translateX,glenoid.translateY,glenoid.translateZ,glenoid.rotateX,glenoid.rotateY,glenoid.rotateZ,elbow.translateX,elbow.translateY,elbow.translateZ,elbow.rotateX,elbow.rotateY,elbow.rotateZ
nov1_5_t1_5,311.74418604651163,Tegu,Tegu 1,hi,0.027227708308783058,0.03407965709339937,19.3965757713471,-0.12619674798408548,9.742010567384977,-0.12648853569264923,-0.19754928142689226,-0.03446502964278351,-30.539010674837517,10.781504188641621,-10.466182558133486,-1.4779140285322742e-15,-3.2890596827639083e-16,1.642276198787773e-15,-0.6093386873147452,-24.011808323556863,-54.819676257699804
nov1_5_t1_6,314.09302325581393,Tegu,Tegu 1,hi,0.025678850870610205,0.03198337095447928,19.323371679487188,-0.0042440037394922215,9.672773749212565,-0.13022568216124755,-0.20338594478940294,-0.03548330994896617,-30.56986170610675,11.330809342638174,-10.54477739190635,-1.3159726419424675e-15,-4.1288114666475176e-16,1.5368686438075907e-15,0.6723029725327516,-24.839032658398718,-57.46062533038256
nov1_5_t1_7,316.45238095238096,Tegu,Tegu 1,hi,0.023829194149574674,0.029519962234402463,19.237104673814137,0.13945008759580377,9.591243081068724,-0.1281261234110301,-0.20010686572208217,-0.034911230825423606,-30.620376764900072,11.880371520670183,-10.667486476743028,-1.2607268972063221e-15,-4.598406470815496e-16,1.4966236074512409e-15,1.9741990752227303,-25.64060332515605,-60.2944739648722
nov1_5_t1_8,318.7906976744186,Tegu,Tegu 1,hi,0.02168069582557062,0.026692175696229524,19.137728586905883,0.3049560533319435,9.497394335005653,-0.12239576806495987,-0.19115722283247966,-0.03334984849264241,-30.697398844621933,12.397544398254587,-10.85016219527482,-1.2874290436487202e-15,-4.63405889807302e-16,1.4904407768966104e-15,3.2211662289711622,-26.351048044477906,-63.20004282690308
nov1_5_t1_9,321.13953488372096,Tegu,Tegu 1,hi,0.019182330385655526,0.02344053796477031,19.0229740389379,0.49604535035276415,9.389109069284242,-0.11472393886410079,-0.17917539312440336,-0.03125946227048594,-30.812588356568163,12.864793338868525,-11.120606709444749,-1.3755131029340086e-15,-4.232525594357239e-16,1.4935514658813135e-15,4.373716884661945,-26.919923089298003,-66.143679238068
nov1_5_t1_10,323.5,Tegu,Tegu 1,hi,0.016329400790490386,0.019773909954514505,18.892942635609835,0.7125397793860658,9.266510899967123,-0.10663044955723384,-0.16653501522470138,-0.0290541845275186,-30.978408600133722,13.261833430075061,-11.509542255052153,-1.5042461486346315e-15,-3.4504110908489924e-16,1.487568664751275e-15,5.3836989955342975,-27.2888884799996,-69.0649962645347
nov1_5_t1_11,325.86046511627904,Tegu,Tegu 1,hi,0.013169381138546068,0.01577157841927872,18.750258696007705,0.9500629202628127,9.132096261952789,-0.09918750536327395,-0.154910654876922,-0.0270261651901287,-31.20305658648956,13.578988821698346,-12.038860753632704,-1.6538577050537826e-15,-2.3990684347206085e-16,1.4643068141718934e-15,6.224633258825449,-27.42259054352273,-71.91582491864868
nov1_5_t1_12,328.2093023255814,Tegu,Tegu 1,hi,0.009743892786803892,0.011513104678560787,18.597515386621733,1.204288899529605,8.98833648363891,-0.09298374706053361,-0.14522164907213866,-0.025335794596562346,-31.496604104262023,13.810984610102864,-12.73632724706174,-1.810342902182378e-15,-1.1828405330611658e-16,1.4238935901911943e-15,6.8805832786994205,-27.288321790903414,-74.67179553305553
nov1_5_t1_13,330.5581395348837,Tegu,Tegu 1,hi,0.006083541719184336,0.007062851026298359,18.43681636927205,1.4717099163214775,8.837232195055774,-0.08805921695196173,-0.1375305362315493,-0.023993983167539337,-31.86546153118428,13.967200403234234,-13.622186682905552,-1.9642319774341597e-15,9.194946518449426e-18,1.3743904004173778e-15,7.370233977136935,-26.883626160992375,-77.36295763717463
nov1_5_t1_14,332.90697674418607,Tegu,Tegu 1,hi,0.002234739551138349,0.002501398380349174,18.270895595441402,1.7477717405044175,8.681369329055297,-0.08418117306356546,-0.13147382148491438,-0.02293731406214355,-32.31005024149991,14.060727506843648,-14.70308587130721,-2.108401185989692e-15,1.3161209563091951e-16,1.3272778743546036e-15,7.721557644610357,-26.223505082055468,-80.01808788813408
nov1_5_t1_15,335.25581395348837,Tegu,Tegu 1,hi,-0.001771796451682396,-0.002103480139511709,18.101967988217513,2.0287823993996184,8.522850603871076,-0.08102317131836324,-0.12654166636549988,-0.02207683874670787,-32.83193986734572,14.102807332868922,-15.990505701418355,-2.2359199608643145e-15,2.3617716346135155e-16,1.2938738933344389e-15,7.960351682432322,-25.317158862060204,-82.66748488027089
nov1_5_t1_16,337.6046511627907,Tegu,Tegu 1,hi,-0.005899057838937127,-0.006691485316828877,17.932121328574706,2.3112676462163337,8.363640229232278,-0.07816621065210758,-0.12207967703418339,-0.021298389096433282,-33.42264161382818,14.108465672564668,-17.470805548323806,-2.341390531659552e-15,3.1040915285058537e-16,1.2795122864277118e-15,8.122374800741708,-24.200627824185432,-85.33609074231117
nov1_5_t1_17,339.95348837209303,Tegu,Tegu 1,hi,-0.010122446712394862,-0.011221876834145115,17.76276019737952,2.592891225003294,8.205056722035192,-0.07528331143946404,-0.11757717810468836,-0.020512870696513728,-34.07148332515302,14.089130274213028,-19.124808829713437,-2.4201702311473532e-15,3.4385511644237997e-16,1.2815521461217368e-15,8.236334175395037,-22.908906783372007,-88.0345196827511
nov1_5_t1_18,342.3095238095238,Tegu,Tegu 1,hi,-0.014447048264641051,-0.015678673871847112,17.594266248933085,2.873015410104806,8.04746881261116,-0.07212518733679757,-0.11264483508403098,-0.01965235879709519,-34.77050632569439,14.051874801541873,-20.942862357878692,-2.4668097638355088e-15,3.278472625559634e-16,1.2895442000299993e-15,8.323008843336744,-21.462787951270442,-90.76717152918532
nov1_5_t1_19,344.6511627906977,Tegu,Tegu 1,hi,-0.01882645523026679,-0.02001732693174159,17.428332641695405,3.1488294003878767,7.892448535254329,-0.06862494663300842,-0.10717817634263434,-0.01869862723301379,-35.49612744534645,14.00314767121733,-22.870885360657,-2.481143578540782e-15,2.682731104180018e-16,1.2866905415837175e-15,8.398118782306033,-19.91550295578904,-93.48541861477705
nov1_5_t1_20,347.0,Tegu,Tegu 1,hi,-0.02330678479373967,-0.024284608980556295,17.263125412138542,3.4233840312085135,7.738276306249306,-0.06474735337173865,-0.1011221700784087,-0.017642075490630276,-36.23955128066454,13.945325117545568,-24.893807468716776,-2.4658102851202252e-15,1.780841118761817e-16,1.256981332931666e-15,8.47091414731706,-18.283032572790187,-96.17922194437124
nov1_5_t1_21,349.3488372093023,Tegu,Tegu 1,hi,-0.02789612032988173,-0.028478311807126996,17.098511703387267,3.696898567138705,7.584834994874016,-0.06054459529170977,-0.09455832238193096,-0.01649692405923064,-36.98229218804204,13.879335798358976,-26.97495518957572,-2.425351049635733e-15,7.791730555039091e-17,1.186275832821725e-15,8.54550721378801,-16.594687625812952,-98.78753125872498
nov1_5_t1_22,351.69767441860466,Tegu,Tegu 1,hi,-0.032608685221488215,-0.03262432485887701,16.933529624825262,3.970976173532417,7.431213558021828,-0.05613165958444559,-0.08766621941550963,-0.015294504740514277,-37.70827780513254,13.806257839612654,-29.07658011001893,-2.370736744137819e-15,-8.540467177482935e-18,1.0750330218485173e-15,8.623453481617458,-14.880091724747667,-101.26227595364278
nov1_5_t1_23,354.04651162790697,Tegu,Tegu 1,hi,-0.03746969835789362,-0.03674463010393626,16.767179481896395,4.24727812354122,7.276481185203695,-0.05160043336901814,-0.08058936988282865,-0.014059854923414597,-38.40236339949126,13.726430298287674,-31.167703376283054,-2.3127159555989266e-15,-6.266186530662433e-17,9.319446681357208e-16,8.705671461903295,-13.162930391987128,-103.55052167412367
nov1_5_t1_24,356.3953488372093,Tegu,Tegu 1,hi,-0.04251461251358867,-0.0408602565311132,16.598350303635307,4.5276475472552535,7.1196137744095385,-0.04702704345980874,-0.073446668250715,-0.012813717521088877,-39.04754739909953,13.639964886375394,-33.21733622202013,-2.263046599468075e-15,-7.113341117887752e-17,7.758967324967076e-16,8.794001333570659,-11.468026641006539,-105.59185859679867
nov1_5_t1_25,358.74418604651163,Tegu,Tegu 1,hi,-0.04776024564091201,-0.04498702009228085,16.426359778521434,4.813219268341944,6.959973453716845,-0.04246121397014298,-0.06631577365184071,-0.01156964104919827,-39.63302353751315,13.547402026180187,-35.203799426271125,-2.2309182811065875e-15,-3.462230946866896e-17,6.32523281114058e-16,8.890966599568507,-9.81631059579487,-107.36019677243034
nov1_5_t1_26,361.0952380952381,Tegu,Tegu 1,hi,-0.0532398768784656,-0.049137466318780916,16.250428026132788,5.105285440485464,6.7968479487127516,-0.0379153978997675,-0.05921613545152566,-0.010331018476055037,-40.146636892058545,13.44807732587616,-37.11037753400147,-2.2229574552134096e-15,4.1541108706990154e-17,5.262265298921204e-16,9.000982399034722,-8.22671301418482,-108.82695559203925
nov1_5_t1_27,363.4418604651163,Tegu,Tegu 1,hi,-0.05896814430907372,-0.0533026632691074,16.070611560660097,5.403748055390908,6.630306717647146,-0.03339464770447764,-0.052155645031011576,-0.009099226186344648,-40.57488833305203,13.340428774509075,-38.918369742499806,-2.2417022957813917e-15,1.4685423406747518e-16,4.775715591720907e-16,9.129455942049717,-6.722976448325015,-109.97032056432109
nov1_5_t1_28,365.8095238095238,Tegu,Tegu 1,hi,-0.06501809219357381,-0.057524135469933235,15.885003248296393,5.711771199646424,6.458590960089475,-0.028824716336479428,-0.04501834413355729,-0.007854033328900683,-40.91847459403631,13.220611491350432,-40.64751780269888,-2.2827340674368272e-15,2.696567149064626e-16,4.920436856378739e-16,9.282426157382822,-5.298179807234252,-110.8232367057583
nov1_5_t1_29,368.14285714285717,Tegu,Tegu 1,hi,-0.07126936253556856,-0.06169674742933862,15.697960261686354,6.022119660115533,6.285750083970825,-0.024281711317559917,-0.03792309758696618,-0.006616176956840542,-41.163819529409125,13.086947494669387,-42.25882743703697,-2.336791243793488e-15,3.9792599827948004e-16,5.662028917747921e-16,9.461381623671016,-3.9943739066620743,-111.38609736986086
nov1_5_t1_30,370.48837209302326,Tegu,Tegu 1,hi,-0.07785505699278145,-0.06589349380733057,15.506081921263082,6.340433133661479,6.108655092819641,-0.0196470679008789,-0.03068473161655369,-0.005353350810879481,-41.31584534279569,12.931677432693874,-43.79313266015877,-2.3922741179261996e-15,5.280039256904572e-16,6.847653787212213e-16,9.673066868973375,-2.786281204312969,-111.71319505863264
nov1_5_t1_31,372.85714285714283,Tegu,Tegu 1,hi,-0.08480403689940029,-0.0701227085618957,15.308979727731671,6.667354565833491,5.926956434066156,-0.01488220267399546,-0.02324298668616974,-0.004055041708127096,-41.379558757313205,12.749523094983939,-45.268779722607,-2.436435225488814e-15,6.572367823845213e-16,8.237877522353238e-16,9.91934700006589,-1.6624480740569572,-111.85852734304197
nov1_5_t1_32,375.2093023255814,Tegu,Tegu 1,hi,-0.09200647139770442,-0.0743008685545229,15.110420177758073,6.996632668944716,5.744144993328903,-0.010057880663195592,-0.0157083829988164,-0.002740531369034215,-41.35619313755064,12.538662909712079,-46.66659138047298,-2.4570877865964626e-15,7.801997306453513e-16,9.546655627611122e-16,10.196690520258265,-0.6368060258503795,-111.86491129291268
